[19/05/17 022:29:45] 022@127.0.0.1      :54688 connected
[19/05/17 022:29:45] 023@127.0.0.1      :54690 connected
[19/05/17 022:29:45] 013@127.0.0.1      :54670 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 005@127.0.0.1      :54664 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 024@127.0.0.1      :54692 connected
[19/05/17 022:29:45] 007@127.0.0.1      :54654 disconnected
[19/05/17 022:29:45] 009@127.0.0.1      :54660 SLEP
[19/05/17 022:29:45] 007@127.0.0.1      :54694 connected
[19/05/17 022:29:45] 021@127.0.0.1      :54686 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 019@127.0.0.1      :54682 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 011@127.0.0.1      :54666 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 018@127.0.0.1      :54680 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 010@127.0.0.1      :54662 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 012@127.0.0.1      :54668 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 016@127.0.0.1      :54676 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 025@127.0.0.1      :54696 connected
[19/05/17 022:29:45] 023@127.0.0.1      :54690 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 015@127.0.0.1      :54674 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 008@127.0.0.1      :54658 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 020@127.0.0.1      :54684 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 014@127.0.0.1      :54672 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 005@127.0.0.1      :54664 disconnected
[19/05/17 022:29:45] 008@127.0.0.1      :54698 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 010@127.0.0.1      :54662 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 005@127.0.0.1      :54700 connected
[19/05/17 022:29:45] 006@127.0.0.1      :54655 disconnected
[19/05/17 022:29:45] 010@127.0.0.1      :54702 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 005@127.0.0.1      :54700 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 021@127.0.0.1      :54686 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 017@127.0.0.1      :54678 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 006@127.0.0.1      :54704 connected
[19/05/17 022:29:45] 022@127.0.0.1      :54688 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 016@127.0.0.1      :54676 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 026@127.0.0.1      :54706 connected
[19/05/17 022:29:45] 016@127.0.0.1      :54708 connected
[19/05/17 022:29:45] 021@127.0.0.1      :54710 connected
[19/05/17 022:29:45] 027@127.0.0.1      :54712 connected
[19/05/17 022:29:45] 005@127.0.0.1      :54700 disconnected
[19/05/17 022:29:45] 028@127.0.0.1      :54714 connected
[19/05/17 022:29:45] 005@127.0.0.1      :54716 connected
[19/05/17 022:29:45] 029@127.0.0.1      :54718 connected
[19/05/17 022:29:45] 030@127.0.0.1      :54720 connected
[19/05/17 022:29:45] 031@127.0.0.1      :54722 connected
[19/05/17 022:29:45] 032@127.0.0.1      :54724 connected
[19/05/17 022:29:45] 033@127.0.0.1      :54726 connected
[19/05/17 022:29:45] 034@127.0.0.1      :54728 connected
[19/05/17 022:29:45] 035@127.0.0.1      :54730 connected
[19/05/17 022:29:45] 036@127.0.0.1      :54732 connected
[19/05/17 022:29:45] 037@127.0.0.1      :54734 connected
[19/05/17 022:29:45] 038@127.0.0.1      :54736 connected
[19/05/17 022:29:45] 039@127.0.0.1      :54738 connected
[19/05/17 022:29:45] 040@127.0.0.1      :54740 connected
[19/05/17 022:29:45] 041@127.0.0.1      :54742 connected
[19/05/17 022:29:45] 042@127.0.0.1      :54744 connected
[19/05/17 022:29:45] 043@127.0.0.1      :54746 connected
[19/05/17 022:29:45] 042@127.0.0.1      :54744 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 044@127.0.0.1      :54748 connected
[19/05/17 022:29:45] 045@127.0.0.1      :54750 connected
[19/05/17 022:29:45] 046@127.0.0.1      :54752 connected
[19/05/17 022:29:45] 047@127.0.0.1      :54754 connected
[19/05/17 022:29:45] 048@127.0.0.1      :54756 connected
[19/05/17 022:29:45] 049@127.0.0.1      :54758 connected
[19/05/17 022:29:45] 035@127.0.0.1      :54730 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 050@127.0.0.1      :54760 connected
[19/05/17 022:29:45] 051@127.0.0.1      :54762 connected
[19/05/17 022:29:45] 029@127.0.0.1      :54718 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 052@127.0.0.1      :54764 connected
[19/05/17 022:29:45] 053@127.0.0.1      :54768 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 017@127.0.0.1      :54678 disconnected
[19/05/17 022:29:45] 049@127.0.0.1      :54758 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 017@127.0.0.1      :54766 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 054@127.0.0.1      :54770 connected
[19/05/17 022:29:45] 017@127.0.0.1      :54766 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 042@127.0.0.1      :54744 disconnected
[19/05/17 022:29:45] 042@127.0.0.1      :54772 connected
[19/05/17 022:29:45] 055@127.0.0.1      :54774 connected
[19/05/17 022:29:45] 042@127.0.0.1      :54772 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 056@127.0.0.1      :54776 connected
[19/05/17 022:29:45] 057@127.0.0.1      :54778 connected
[19/05/17 022:29:45] 056@127.0.0.1      :54776 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 058@127.0.0.1      :54780 connected
[19/05/17 022:29:45] 059@127.0.0.1      :54782 connected
[19/05/17 022:29:45] 060@127.0.0.1      :54784 connected
[19/05/17 022:29:45] 058@127.0.0.1      :54780 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 061@127.0.0.1      :54786 connected
[19/05/17 022:29:45] 060@127.0.0.1      :54784 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 062@127.0.0.1      :54788 connected
[19/05/17 022:29:45] 054@127.0.0.1      :54770 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 062@127.0.0.1      :54788 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 057@127.0.0.1      :54778 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 063@127.0.0.1      :54790 connected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 035@127.0.0.1      :54730 disconnected
[19/05/17 022:29:45] 059@127.0.0.1      :54782 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 049@127.0.0.1      :54758 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 042@127.0.0.1      :54772 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 054@127.0.0.1      :54770 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 007@127.0.0.1      :54694 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 057@127.0.0.1      :54778 disconnected
[19/05/17 022:29:45] 006@127.0.0.1      :54704 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 021@127.0.0.1      :54710 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 016@127.0.0.1      :54708 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 058@127.0.0.1      :54780 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 035@127.0.0.1      :54792 connected
[19/05/17 022:29:45] 036@127.0.0.1      :54732 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 007@127.0.0.1      :54694 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 008@127.0.0.1      :54698 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 019@127.0.0.1      :54682 disconnected
[19/05/17 022:29:45] 026@127.0.0.1      :54706 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 027@127.0.0.1      :54712 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 056@127.0.0.1      :54776 disconnected
[19/05/17 022:29:45] 013@127.0.0.1      :54670 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 034@127.0.0.1      :54728 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 028@127.0.0.1      :54714 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 015@127.0.0.1      :54674 disconnected
[19/05/17 022:29:45] 005@127.0.0.1      :54716 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY	sleeping 3 seconds..                  
[19/05/17 022:29:45] 021@127.0.0.1      :54710 disconnected
[19/05/17 022:29:45] 031@127.0.0.1      :54722 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 032@127.0.0.1      :54724 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 030@127.0.0.1      :54720 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 024@127.0.0.1      :54692 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 033@127.0.0.1      :54726 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 053@127.0.0.1      :54768 SOLN 1fffffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212147
[19/05/17 022:29:45] 016@127.0.0.1      :54708 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
[19/05/17 022:29:45] 062@127.0.0.1      :54788 disconnected
[19/05/17 022:29:45] 000@0.0.0.0        :01234 OKAY
